frame,timestamp_s,pitch_deg,yaw_deg,roll_deg,is_nod
149,6.208,13.26,-0.57,-1.39,1
150,6.250,13.30,-0.31,-1.42,0
151,6.292,11.61,-0.01,-1.44,0
152,6.333,9.22,1.56,-1.39,0
153,6.375,9.15,-0.04,-1.72,0
154,6.417,9.92,0.17,-1.90,1
155,6.458,10.56,-0.29,-1.56,0
156,6.500,11.50,0.01,-1.44,0
157,6.542,11.09,-0.04,-1.45,0
158,6.583,12.57,0.37,-1.19,0
159,6.625,14.44,0.60,-0.94,1
160,6.667,16.23,1.06,-0.88,0
161,6.708,16.61,0.42,-1.50,0
162,6.750,16.99,0.96,-1.65,0
163,6.792,17.25,1.33,-1.21,0
164,6.833,16.25,0.95,-1.64,0
165,6.875,15.32,0.40,-2.13,0
166,6.917,14.81,-1.28,-2.40,0
167,6.958,12.39,-0.40,-1.92,0
168,7.000,9.90,0.05,-2.18,0
169,7.042,8.62,-1.07,-2.39,0
170,7.083,9.03,-2.67,-2.81,0
171,7.125,9.77,-1.21,-2.48,0
172,7.167,9.88,-0.62,-2.16,0
173,7.208,9.84,2.34,-2.29,0
174,7.250,10.44,1.40,-2.46,0
175,7.292,10.30,0.85,-2.69,0
176,7.333,10.40,0.79,-2.83,0
177,7.375,10.40,2.67,-2.59,0
178,7.417,10.41,2.86,-2.49,0
179,7.458,10.52,4.28,-2.15,0
180,7.500,10.16,3.67,-2.28,0
181,7.542,9.94,3.39,-2.28,0
182,7.583,10.12,3.35,-2.42,0
183,7.625,10.22,3.61,-2.53,0
184,7.667,10.56,2.55,-2.80,0
185,7.708,10.52,2.63,-2.78,0
186,7.750,10.32,3.44,-2.71,0
187,7.792,10.20,3.99,-2.57,0
188,7.833,10.02,3.95,-2.43,0
189,7.875,10.50,3.88,-2.42,0
190,7.917,10.82,4.66,-2.29,0
191,7.958,11.27,5.01,-2.27,0
192,8.000,11.44,4.07,-2.47,0
193,8.042,11.87,4.19,-2.33,0
194,8.083,12.15,3.55,-2.34,0
195,8.125,12.07,3.34,-2.40,0
196,8.167,12.02,3.57,-2.38,0
197,8.208,12.13,1.88,-2.59,0
198,8.250,11.93,1.43,-2.71,0
199,8.292,12.42,2.22,-2.59,0
200,8.333,12.27,2.46,-2.69,0
201,8.375,12.21,3.21,-2.62,0
202,8.417,11.89,2.56,-3.00,0
203,8.458,12.13,3.86,-2.80,0
204,8.500,12.42,3.50,-3.04,0
205,8.542,12.35,4.74,-2.92,1
206,8.583,12.26,3.56,-3.38,0
207,8.625,12.05,4.93,-3.21,0
208,8.667,12.39,4.08,-3.63,0
209,8.708,13.21,2.11,-4.26,0
210,8.750,13.85,-0.20,-5.15,1
211,8.792,3.97,-2.26,173.96,0
212,8.833,4.11,-5.40,173.48,0
213,8.875,4.41,-6.31,172.95,0
214,8.917,4.71,-7.40,172.94,0
215,8.958,5.26,-7.43,172.94,1
216,9.000,6.31,-5.84,172.86,0
217,9.042,6.63,-4.13,172.93,0
218,9.083,5.82,-1.91,172.75,0
219,9.125,6.02,1.95,172.76,0
220,9.167,4.72,5.33,172.46,1
221,9.208,3.85,7.53,172.28,0
222,9.250,3.11,9.78,171.82,0
